id;datum;klasse;kategorie;sprachen;gebiete;titel
rom2404;05.04.2012;Weitere Informationen;Allgemeine Mitteilung;Französisch;Weitere Teilbereiche;Manifeste Pour des universités à la hauteur de leurs missions
rom1874;19.06.2012;Tagungen;Tagungsausschreibung;Französisch;Medien-/Kulturwissenschaft;Journée d'études und Filmfestival Le Québec en fête
rom1698;28.09.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche;Geschäftsführer/in Frankreich-Zentrum
rom2899;28.01.2013;Tagungen;Sonstige Veranstaltung;Französisch;Weitere Teilbereiche;Semaine de la langue française et de la francophone
rom2824;23.04.2009;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche;Referent/in (Deutsch-Französische Hochschule) im Bereich der Doktoranden- und Forschungsförderung
rom3284;17.12.2011;Weitere Informationen;Allgemeine Mitteilung;Französisch;Weitere Teilbereiche;Vizepräsidentin für Europa der Saar-Uni erhält französischen Orden
rom3024;15.12.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche;Studienkoordinator/-in
rom0584;08.01.2011;Weitere Informationen;Allgemeine Mitteilung;Französisch;Weitere Teilbereiche;Budget der Deutsch-Französischen Hochschule (DFH) 2011: 1 Million Euro zusätzlich
rom0339;20.12.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Akademische/r Mitarbeiter/in in der Lehre (50%): Französische Sprachpraxis
rom2128;07.08.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachpraxis;Lehrkraft für besondere Aufgaben
rom2303;01.11.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachpraxis;Lektoratsstelle Französisch
rom1292;31.05.2012;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche; Chargé(e) de projet « Information et réseaux» (H/F) Office franco-allemand pour la Jeunesse (OFAJ)
rom2975;28.05.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche;Stelle als Junge(r) Botschafter(in) 
rom3533;09.01.2014;Stellen;Nichtwissenschaftliche Stelle;Französisch;Weitere Teilbereiche;Wiss. Mitarbeiter/in Tourismuswirtschaft Deutsch-Französisch
rom1107;12.02.2014;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Weitere Teilbereiche;CfP Sektion 4: Die 'langues de l'immigration' in der Diskussion: Sprachpolitik und Varietätenlinguistik (Frankoromanistentag 2014)
rom1116;04.12.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Weitere Teilbereiche;CfP: Sektion Das Französische im wirtschaftlichen Kontext Frankoromanistentag 2014
rom2674;30.09.2010;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Sprachpraxis;Principal Lecturer/ Senior Lecturer/Lecturer in French
rom3500;20.11.2009;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Sprachpraxis;Wiss. Mitarbeiter/in insbes. Testentwicklung und -auswertung im Fach Französisch (50%)
rom1591;18.08.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Sprachpraxis;Fixed-Term Lecturer in French
rom2572;14.07.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Sprachpraxis;Part-time Evening Class Lecturers in French
rom2072;10.05.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Sprachpraxis;Lecturer / Senior Lecturer in French
rom0843;01.02.2014;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Sprachpraxis;CfP / Fristverlängerung: Les langues dans l’espace public francophone (Sektion 7 des 9. Frankoromanistenkongresses)
rom2518;22.03.2010;Weitere Informationen;Studium;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft Sprachpraxis;Neuer deutsch-französischer Masterstudiengang „Juristisches Übersetzen und Dolmetschen in Magdeburg und Lorient (ab Okt. 2010)
rom2092;21.04.2009;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft Sprachpraxis;Lectureship in the Cultures Histories and/or Linguistics of the Francophone World
rom1618;06.09.2012;Stellen;Stipendium;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft Didaktik;Forschungsstipendien für promovierte deutsche Geistes- und Sozialwissenschaftler nach Frankreich
rom2356;20.09.2011;Tagungen;Tagungsprogramm;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Les politiques linguistiques explicites et implicites en domaine francophone / Sprachenpolitik und Laienlinguistik in der Frankophonie
rom2036;20.04.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Lecturer in French with Translation Studies
rom2402;20.04.2009;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Maître de conferences en francophonie
rom1098;15.11.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;CfP: Sektion 13:  'Medientextsorten und neue Kommunikationsformen des Französischen. Kontrastive und translationswissenschaftliche Perspektiven' Frankoromanistentag 2012
rom3350;12.03.2009;Stellen;Professur;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;W2-Professur: Französische Sprach- und Kulturwissenschaft
rom2545;06.03.2012;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Noch 2 Plätze frei / Encore deux places à disposition: CfP Sektion 10: Sprache und Identität im digitalen Raum - Langue et identité dans l’espace digital
rom1664;06.01.2012;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Fristverlängerung bis 31.01.2012: CfP: Sektion 13: 'Medientextsorten und neue Kommunikationsformen des Französischen. Kontrastive und translationswissenschaftliche Perspektiven' Frankoromanistentag 2012
rom1989;05.02.2014;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;Langue et droit
rom1993;04.02.2014;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;L'approche formulaire des discours spécialisés
rom3423;01.12.2009;Stellen;Professur;Französisch;Sprachwissenschaft Medien-/Kulturwissenschaft;W3-Professur für Übersetzungswissenschaft: Französisch
rom0357;29.11.2007;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Didaktik;Akademische/r Rat/Rätin Französisch PH
rom2679;24.02.2012;Stellen;Professur;Französisch;Sprachwissenschaft Didaktik;Professeur des universités en didactique du FLE/ didactique des langues
rom3403;18.02.2011;Stellen;Professur;Französisch;Sprachwissenschaft Didaktik;W3-Professur für französische Sprache und Sprachdidaktik
rom2144;12.03.2008;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Didaktik;Lehrkraft für besondere Aufgaben Fachlehrer/in für Französische Sprachwissenschaft
rom3404;11.11.2010;Stellen;Professur;Französisch;Sprachwissenschaft Didaktik;W3-Professur für französische Sprache und Sprachdidaktik
rom1103;09.12.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Didaktik;CfP: Sektion 19 Linguistische Kompetenzen zukünftiger Französischlehrer: Perspektiven für die Hochschuldidaktik - Frankoromanistentag 2014
rom3558;09.07.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Didaktik;Wiss. Mitarbeiterstelle (romanistische Sprachwissenschaft und Fachdidaktik Französisch)
rom1662;02.02.2014;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft Didaktik;Frist verlängert - CfP: Sektion 19 Linguistische Kompetenzen zukünftiger Französischlehrer: Perspektiven für die Hochschuldidaktik - Frankoromanistentag 2014
rom2403;01.10.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft Didaktik;Maître de conférences en linguistique française et didactique des langues
rom0212;29.04.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;3es Journées d'Etudes Repenser l'histoire du francais
rom2640;28.04.2011;Stellen;Stipendium;Französisch;Sprachwissenschaft;Postdoctoral Research Fellow in French Applied Linguistics
rom1450;26.12.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Dissertationsstelle Frz. Linguistik (Ersatz 50%) - Univ. Innsbruck
rom3070;25.08.2011;Stellen;Nichtwissenschaftliche Stelle;Französisch;Sprachwissenschaft;Teaching Associate in French
rom2473;25.05.2008;Weitere Informationen;Allgemeine Mitteilung;Französisch;Sprachwissenschaft;Nachruf auf den Linguisten Peter Scherfer
rom2650;25.04.2012;Stellen;Professur;Französisch;Sprachwissenschaft;Poste de professeur(e) invité(e) en linguistique
rom3574;25.01.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Wissenschaftliche/-r Mitarbeiter/-in: Angewandte Sprachwissenschaft
rom1687;24.10.2013;Tagungen;Sonstige Veranstaltung;Französisch;Sprachwissenschaft;Gedenksymposium für Hartmut Kleineidam
rom0971;23.11.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Les langues dans l’espace public francophone (Sektion 7 des 9. Frankoromanistenkongresses)
rom0754;23.05.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Congrès Mondial de Linguistique Française 2012
rom1190;22.06.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Temps Aspect Mode en système et en discours
rom3571;22.03.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Wissenschaftliche/-r Mitarbeiter/-in Französische Sprachwissenschaft
rom1095;21.11.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Sektion 12 Laienlinguistik im frankophonen Internet Frankoromanistentag 2012
rom1939;21.03.2008;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;Kolloquium zur romanischen Namenkunde
rom0711;20.12.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: Association for French Language Studies Conference 2012
rom2024;20.04.2011;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Lecturer in French Linguistics
rom0511;19.10.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;Ausschreibung linguistischer Sektionen zum 8. Kongress des Frankoromanistenverbandes
rom1960;19.07.2012;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;La comparaison et la métaphore comme figures analogiques
rom3156;19.07.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;UniversitätsassistentIn 50% Prä-Doc für französische Sprachwissenschaft
rom3741;19.05.2008;Weitere Informationen;Allgemeine Mitteilung;Französisch;Sprachwissenschaft;Zs.: Nouvelle revue d'onomastique N° 49-50 (2008): Onomastique galloromane Noms d'ailleurs
rom3032;18.04.2013;Weitere Informationen;Allgemeine Mitteilung;Französisch;Sprachwissenschaft;Sujet de thèse prioritaire ATILF
rom3215;18.01.2013;Stellen;Professur;Französisch;Sprachwissenschaft;University Lecturer in Medieval French in association with a tutorial fellowship at St Peter's College
rom3676;17.12.2013;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;Wiss.Mitarbeiter/in (französische Sprachwissenschaft)
rom3765;16.09.2013;Weitere Informationen;Allgemeine Mitteilung;Französisch;Sprachwissenschaft;Zum Tod von Jean Véronis (1955-2013)
rom2678;16.03.2009;Stellen;Professur;Französisch;Sprachwissenschaft;Professeur de syntaxe à Strasbourg
rom0399;14.06.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;Approches théoriques et empiriques en phraséologie
rom0940;14.02.2011;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: La perception des accents du français hors de France
rom0980;12.05.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: L’HISTOIRE DU FRANÇAIS : NOUVELLES APPROCHES NOUVEAUX TERRAINS  NOUVEAUX TRAITEMENTS
rom0981;11.01.2013;Tagungen;Tagungsausschreibung;Französisch;Sprachwissenschaft;CfP: L’histoire du français : nouvelles approches nouveaux terrains nouveaux traitements
rom0106;10.10.2012;Stellen;Wissenschaftliche Stelle;Französisch;Sprachwissenschaft;2 Doktorandenstellen (Französisch)
