Name,website,univ--address
Dr. Monica Biasiolo,##NA##,Friedrich-Alexander-Universität Erlangen-Nürnberg --  Bismarckstr.  1a 91054 Erlangen Deutschland 
Nicola Biskup-Breitenfeld,##NA##,##NA## -- ##NA##
Stefanie Bollmann,##NA##,Westfälische Wilhelms-Universität Münster --  Deutschland 
Amor Ayala,##NA##,##NA## --   Berlin Deutschland 
Louise Dietrich,##NA##,##NA## -- ##NA##
Isabelle Kross,##NA##,##NA## -- ##NA##
Carla Amado,##NA##,Universität des Saarlandes --  Deutschland 
Steffen Heidinger,##NA##,##NA## -- ##NA##
Dr. Elena Castroviejo,##NA##,##NA## -- ##NA##
Dr. Luca Melchior,http://www.uni-graz.at/luca.melchior/,Karl-Franzens-Universität Graz --  Merangasse 70/III 8010 Graz Österreich 
Prof. Dr. Annette Gerstenberg,##NA##,Freie Universität Berlin --  Habelschwerdter Allee 45 14195 Berlin Deutschland 
Katrin Berty,##NA##,##NA## -- ##NA##
Osvaldo Calle Quiñonez,##NA##,##NA## -- ##NA##
Dr. Maribel Cedeño Rojas,http://www.uni-siegen.de/phil/romanistik/mitarbeiter/cedeno_maribel/index.html?lang=de,Universität Siegen --  Adolf-Reichwein-Straße 2 57076 Siegen Deutschland 
Dr. Giulia Pelillo,http://www.uni-heidelberg.de/rose/personen/pelillo.html,Ruprecht-Karls-Universität Heidelberg --   Heidelberg Deutschland 
Raphaela Braun,http://www.uni-marburg.de/fb09/ndl/personal/braunr/index_html,Philipps-Universität Marburg --  Deutschland 
Fabian Lehmann,##NA##,##NA## -- ##NA##
Dr. José Carlos  Huisa Téllez,##NA##,Johannes Gutenberg-Universität Mainz --  Welder Weg 18 55099 Mainz Deutschland 
Annika  Mayer,##NA##,Universität Kassel --  Kurt-Wolters-Straße  5 34125 Kassel Deutschland 
Dr. Carolin Patzelt,http://www.ruhr-uni-bochum.de/romsem/seminar/personal.htm,Ruhr-Universität Bochum --  Deutschland 
Prof. Dr. Vittoria  Borsò,##NA##,Heinrich-Heine-Universität Düsseldorf --  Deutschland 
Cosima Stawenow,http://www.stawenow-textgrafik.de/,Ruprecht-Karls-Universität Heidelberg --  Seminarstraße 3 69117 Heidelberg Deutschland 
Prof. Dr. Meike Meliss,##NA##,##NA## -- ##NA##
Eva Maria Loos,http://www.uni-heidelberg.de/fakultaeten/neuphil/iask/sued/seminar/abteilungen/spanisch/profil_loos.html,Ruprecht-Karls-Universität Heidelberg --  Seminarstr.  3 69117 Heidelberg Deutschland 
Dr. Claire Block,##NA##,Universität Bremen --  Deutschland 
Prof. Dr. Anja  Bandau,www.lai.fu-berlin.de/homepages/bandau/index.html,Freie Universität Berlin --   Berlin Deutschland 
