Name,Address,Description,Latitude,Longitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Prof. Dr. Angelica Rieger,Aachen,Prof. Dr. Angelica Rieger,,,,,,
Lidia Molina,Aachen,Lidia Molina,,,,,,
Dr. Frank Jablonka,Amiens,Dr. Frank Jablonka,,,,,,
Prof. Dr. Steven  Dworkin,Ann Arbor,Prof. Dr. Steven  Dworkin,,,,,,
Prof. Dr. Rita  De Maeseneer,Antwerp,Prof. Dr. Rita  De Maeseneer,,,,,,
Simone Baum,Augsburg,Simone Baum,,,,,,
PD Dr. Thomas Stauder,Augsburg,PD Dr. Thomas Stauder,,,,,,
Prof. Dr. Hanno Ehrlicher,Augsburg,Prof. Dr. Hanno Ehrlicher,,,,,,
Dr. Nanette Rißler-Pipka,Augsburg,Dr. Nanette Rißler-Pipka,,,,,,
María del Carmen Luis Gironés,Bad Hersfeld,María del Carmen Luis Gironés,,,,,,
Prof. Dr. Enrique Rodrigues-Moura,Bamberg,Prof. Dr. Enrique Rodrigues-Moura,,,,,,
Prof. Dr. Christine Michler,Bamberg,Prof. Dr. Christine Michler,,,,,,
Prof. Dr. Dina De Rentiis,Bamberg,Prof. Dr. Dina De Rentiis,,,,,,
PD Dr. Philipp Burdy,Bamberg,PD Dr. Philipp Burdy,,,,,,
Prof. Dr. Martin Haase,Bamberg,Prof. Dr. Martin Haase,,,,,,
Hanna Budig,Bamberg,Hanna Budig,,,,,,
Jenny Brumme,Barcelona,Jenny Brumme,,,,,,
PD Dr. Giovanna D'Aniello,Bari,PD Dr. Giovanna D'Aniello,,,,,,
Rocío Agar Marco,Basel,Rocío Agar Marco,,,,,,
Dr. Florence Oloff,Basel,Dr. Florence Oloff,,,,,,
Prof. Dr. Harm den Boer,Basel,Prof. Dr. Harm den Boer,,,,,,
Dr. Volker Jaeckel,Belo Horizonte,Dr. Volker Jaeckel,,,,,,
Weitere Publikationen,Belo Horizonte,Weitere Publikationen,,,,,,
Amor Ayala,Berlin,Amor Ayala,,,,,,
Prof. Dr. Annette Gerstenberg,Berlin,Prof. Dr. Annette Gerstenberg,,,,,,
Prof. Dr. Anja  Bandau,Berlin,Prof. Dr. Anja  Bandau,,,,,,
Dr. Igor Candido,Berlin,Dr. Igor Candido,,,,,,
Dr. Georg Wink,Berlin,Dr. Georg Wink,,,,,,
Prof. Dr. Ronald Daus,Berlin,Prof. Dr. Ronald Daus,,,,,,
Dr. Patrick Roesler,Berlin,Dr. Patrick Roesler,,,,,,
Julius Becker,Berlin,Julius Becker,,,,,,
Mira Becker,Berlin,Mira Becker,,,,,,
PD Dr. Margot Brink,Berlin,PD Dr. Margot Brink,,,,,,
Prof. Dr. Margarete Zimmermann,Berlin,Prof. Dr. Margarete Zimmermann,,,,,,
PD Dr. Anita Traninger,Berlin,PD Dr. Anita Traninger,,,,,,
Dr. Silvia Richter,Berlin,Dr. Silvia Richter,,,,,,
Prof. Dr. Peter Stein,Berlin,Prof. Dr. Peter Stein,,,,,,
Dr. Valeriu P. Stancu,Berlin,Dr. Valeriu P. Stancu,,,,,,
Julia Zwink,Berlin,Julia Zwink,,,,,,
Dr. habil. Yvette Bürki,Bern,Dr. habil. Yvette Bürki,,,,,,
Prof. Dr. Benedicte Vauthier,Bern,Prof. Dr. Benedicte Vauthier,,,,,,
Prof. Dr. Elwys De Stefani,Bern,Prof. Dr. Elwys De Stefani,,,,,,
Dr. habil. Katja Ploog,Besancon,Dr. habil. Katja Ploog,,,,,,
Dr. Carolin Patzelt,Bochum,Dr. Carolin Patzelt,,,,,,
