"<a href=""http://www.romanistik.de/pers/3777"">Academics.de www.academics.de</a>",Academics.de www.academics.de,http://www.academics.de,##NA## --  Deutschland ,2014-03-13,
"<a href=""http://www.romanistik.de/pers/988"">Adrian Stähli</a>",Adrian Stähli,##NA##,Universität Bern --  3012 Bern Schweiz ,2011-02-04,
"<a href=""http://www.romanistik.de/pers/3700"">Agathe  Mareuge</a>",Agathe  Mareuge,##NA##,##NA## -- ##NA##,2014-02-07,
"<a href=""http://www.romanistik.de/pers/1711"">Alessandra  Matrone</a>",Alessandra  Matrone,http://www.romanistik.uni-mainz.de/860.php,Johannes-Gutenberg-Universität Mainz --   Mainz Deutschland ,2011-10-05,
"<a href=""http://www.romanistik.de/pers/84"">Alexander Gropper</a>",Alexander Gropper,##NA##,Universität Passau --  Innstr.  25 94032 Passau Deutschland ,2010-01-11,
"<a href=""http://www.romanistik.de/pers/3988"">Alexander Kagerer</a>",Alexander Kagerer,##NA##,Ludwig-Maximilians-Universität München --  Schellingstr.  3 80799  München Deutschland ,2014-06-30,
"<a href=""http://www.romanistik.de/pers/163"">Alexandra Duppé</a>",Alexandra Duppé,##NA##,RWTH Aachen --  Deutschland ,2010-03-15,
"<a href=""http://www.romanistik.de/pers/2491"">Alexandra Rieder</a>",Alexandra Rieder,##NA##,##NA## -- ##NA##,2012-06-21,
"<a href=""http://www.romanistik.de/pers/362"">Alexandre Martins</a>",Alexandre Martins,http://www.pbi.phil-fak.uni-koeln.de/3213.html,Universität zu Köln --   Köln Deutschland ,2010-09-16,
"<a href=""http://www.romanistik.de/pers/2997"">Aline Willems</a>",Aline Willems,##NA##,Universität Trier --  Deutschland ,2013-02-01,
"<a href=""http://www.romanistik.de/pers/3769"">Amalia Varela</a>",Amalia Varela,##NA##,##NA## -- ##NA##,2014-03-10,
"<a href=""http://www.romanistik.de/pers/366"">Amanda Minervini</a>",Amanda Minervini,http://www.brown.edu/Departments/Italian_Studies/people/minervini.html,Brown University / Humboldt-Universität Berlin --   Providence Vereinigte Staaten ,2010-09-18,
"<a href=""http://www.romanistik.de/pers/4087"">Amine Bounaira</a>",Amine Bounaira,##NA##,##NA## -- ##NA##,2014-09-11,
"<a href=""http://www.romanistik.de/pers/312"">Amor Ayala</a>",Amor Ayala,##NA##,##NA## --   Berlin Deutschland ,2010-08-10,
"<a href=""http://www.romanistik.de/pers/1784"">Ana  Leiner</a>",Ana  Leiner,##NA##,##NA## -- ##NA##,2011-10-30,
"<a href=""http://www.romanistik.de/pers/3748"">Ana Maria Ferri</a>",Ana Maria Ferri,##NA##,##NA## --  Deutschland ,2014-03-04,
"<a href=""http://www.romanistik.de/pers/2790"">Ana Maria Fröhling</a>",Ana Maria Fröhling,##NA##,##NA## -- ##NA##,2012-10-14,
"<a href=""http://www.romanistik.de/pers/2374"">Ana Pérez</a>",Ana Pérez,##NA##,Universität Bamberg --  weide  8 96047 Bamberg Deutschland ,2012-05-31,
"<a href=""http://www.romanistik.de/pers/3245"">Ana-Sofia Commichau</a>",Ana-Sofia Commichau,##NA##,Universität Heidelberg --  Deutschland ,2013-06-21,
"<a href=""http://www.romanistik.de/pers/3744"">Anaïs Boelicke</a>",Anaïs Boelicke,##NA##,##NA## -- ##NA##,2014-03-03,
"<a href=""http://www.romanistik.de/pers/151"">André Bonilha</a>",André Bonilha,##NA##,##NA## -- ##NA##,2010-03-06,
"<a href=""http://www.romanistik.de/pers/749"">Andrea  Gremels</a>",Andrea  Gremels,http://www.romanistik.uni-frankfurt.de/mitarbeiter/gremels/index.html,Goethe-Universität Frankfurt am Main --   Frankfurt Deutschland ,2010-12-09,
"<a href=""http://www.romanistik.de/pers/778"">Andrea  Wurdak</a>",Andrea  Wurdak,##NA##,##NA## --  Deutschland ,2010-12-16,
"<a href=""http://www.romanistik.de/pers/1466"">Andrea Peskova</a>",Andrea Peskova,http://www1.uni-hamburg.de/romanistik/welcome.htm,Universität Hamburg --  Deutschland ,2011-07-11,
"<a href=""http://www.romanistik.de/pers/1987"">Andrea Stock</a>",Andrea Stock,##NA##,##NA## -- ##NA##,2012-01-04,
"<a href=""http://www.romanistik.de/pers/2540"">Andrea Urban </a>",Andrea Urban ,##NA##,Universität Klagenfurt --  Österreich ,2012-06-26,
