Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Daniel Dengler,Regensburg,Daniel Dengler,12.1,49.0167,,2009-10-24,2015-01-01,7013496
Prof. Dr. Jörg Dünne,Erfurt,Prof. Dr. Jörg Dünne,11.05,50.9667,,2009-10-24,2015-01-01,7024031
PD Dr. Lars Schneider,München,PD Dr. Lars Schneider,11.5833,48.1333,,2009-10-28,2015-01-01,7004333
Dr. Thomas Stöber,München,Dr. Thomas Stöber,11.5833,48.1333,,2009-10-29,2015-01-01,7004333
Julia Blandfort,Regensburg,Julia Blandfort,12.1,49.0167,,2009-10-29,2015-01-01,7013496
PD Dr. Kristin Reinke,Mainz,PD Dr. Kristin Reinke,8.2667,50,,2009-10-29,2015-01-01,7004449
Dr. Olaf Müller,Jena,Dr. Olaf Müller,11.5833,50.9333,,2009-10-29,2015-01-01,7005973
Dr. Marc-Olivier Hinzelin,Hamburg,Dr. Marc-Olivier Hinzelin,10,53.5833,,2009-10-29,2015-01-01,7003673
Dr. Daniel Winkler,Innsbruck,Dr. Daniel Winkler,11.4,47.2667,,2009-10-30,2015-01-01,7003249
Dr. Christof Schöch,Würzburg,Dr. Christof Schöch,9.9333,49.8,,2009-11-01,2015-01-01,7004335
Ninon Franziska Thiem,Erfurt,Ninon Franziska Thiem,11.05,50.9667,,2009-11-01,2015-01-01,7024031
Prof. Dr. Annette Gerstenberg,Berlin,Prof. Dr. Annette Gerstenberg,13.4167,52.5333,,2009-11-02,2015-01-01,7003712
Mario Willersinn,Freiburg,Mario Willersinn,7.85,48,,2009-11-12,2015-01-01,1003143
Dr. Regina Schleicher,Frankfurt am Main,Dr. Regina Schleicher,8.662009637,50.1213881,,2009-11-15,2015-01-01,
Prof. Dr. Jochen Mecke,Regensburg,Prof. Dr. Jochen Mecke,12.1,49.0167,,2009-11-24,2015-01-01,7013496
Dr. Marina Ortrud M. Hertrampf,Regensburg,Dr. Marina Ortrud M. Hertrampf,12.1,49.0167,,2009-11-30,2015-01-01,7013496
Dr. Karen Struve,Bremen,Dr. Karen Struve,8.8,53.0833,,2009-12-01,2015-01-01,7005286
Prof. Dr. Yazmín López Lenci,Lima,Prof. Dr. Yazmín López Lenci,-77.05,-12.05,,2009-12-02,2015-01-01,7005821
Corinne Bayerl,Chicago,Corinne Bayerl,-87.65,41.85,,2009-12-02,2015-01-01,7013596
Dr. Peggy Katelhön,Torino,Dr. Peggy Katelhön,7.3667,45.1333,,2009-12-02,2015-01-01,7003154
Dr. Gioia Valdemarca,Trieste,Dr. Gioia Valdemarca,13.7667,45.6667,,2009-12-02,2015-01-01,1003505
Dr. Luca Melchior,Graz,Dr. Luca Melchior,15.3667,47.0833,,2009-12-02,2015-01-01,7003097
Prof. Dr. Cornelia Ruhe,Mannheim,Prof. Dr. Cornelia Ruhe,8.4667,49.5,,2009-12-02,2015-01-01,7005179
Prof. Dr. Elton Prifti,Mannheim,Prof. Dr. Elton Prifti,8.4667,49.5,,2009-12-02,2015-01-01,7005179
Franziska Maria Hack,Oxford,Franziska Maria Hack,-1.25,51.7667,,2009-12-02,2015-01-01,7011931
Nadine Haas,Hamburg,Nadine Haas,10,53.5833,,2009-12-02,2015-01-01,7003673
Mariela Ferrari,Spiekeroog,Mariela Ferrari,7.7167,53.7833,,2009-12-02,2015-01-01,1009246
Dr. Ivana Lalli Pacelat,Pula,Dr. Ivana Lalli Pacelat,13.8667,44.8667,,2009-12-03,2015-01-01,7015562
Julia Pümpel,Innsbruck,Julia Pümpel,11.4,47.2667,,2009-12-03,2015-01-01,7003249
