Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Academics.de www.academics.de,Langeoog,3777-Academics_de_www_academics_de,7.4860135,53.7460094,,2014-03-13,2015-01-01,
Adrian Stähli,Bern,988-Adrian_StAehli,7.4333,46.95,,2011-02-04,2015-01-01,7007557
Agathe  Mareuge,Spiekeroog,3700-Agathe_Mareuge,7.7167,53.7833,,2014-02-07,2015-01-01,1009246
Alessandra  Matrone,Mainz,1711-Alessandra_Matrone,8.2667,50,,2011-10-05,2015-01-01,7004449
Alexander Gropper,Passau,84-Alexander_Gropper,13.4667,48.5833,,2010-01-11,2015-01-01,7004407
Alexander Kagerer,München,3988-Alexander_Kagerer,11.5833,48.1333,,2014-06-30,2015-01-01,7004333
Alexandra Duppé,Aachen,163-Alexandra_Dupp_,6.1,50.7667,,2010-03-15,2015-01-01,7004799
Alexandra Rieder,Spiekeroog,2491-Alexandra_Rieder,7.7167,53.7833,,2012-06-21,2015-01-01,1009246
Alexandre Martins,Köln,362-Alexandre_Martins,6.95,50.9333,,2010-09-16,2015-01-01,7004446
Aline Willems,Trier,2997-Aline_Willems,6.5833,50,,2013-02-01,2015-01-01,7004451
Amalia Varela,Spiekeroog,3769-Amalia_Varela,7.7167,53.7833,,2014-03-10,2015-01-01,1009246
Amanda Minervini,Providence,366-Amanda_Minervini,-89.65,33.2333,,2010-09-18,2015-01-01,2056108
Amine Bounaira,Spiekeroog,4087-Amine_Bounaira,7.7167,53.7833,,2014-09-11,2015-01-01,1009246
Amor Ayala,Berlin,312-Amor_Ayala,13.4167,52.5333,,2010-08-10,2015-01-01,7003712
Ana  Leiner,Spiekeroog,1784-Ana_Leiner,7.7167,53.7833,,2011-10-30,2015-01-01,1009246
Ana Maria Ferri,Langeoog,3748-Ana_Maria_Ferri,7.4860135,53.7460094,,2014-03-04,2015-01-01,
Ana Maria Fröhling,Spiekeroog,2790-Ana_Maria_FrOehling,7.7167,53.7833,,2012-10-14,2015-01-01,1009246
Ana Pérez,Bamberg,2374-Ana_P_rez,10.9,49.9,,2012-05-31,2015-01-01,7004325
Ana-Sofia Commichau,Heidelberg,3245-Ana_Sofia_Commichau,8.7,49.4167,,2013-06-21,2015-01-01,7005177
Anaïs Boelicke,Spiekeroog,3744-Ana_s_Boelicke,7.7167,53.7833,,2014-03-03,2015-01-01,1009246
André Bonilha,Spiekeroog,151-Andr_Bonilha,7.7167,53.7833,,2010-03-06,2015-01-01,1009246
Andrea  Gremels,Frankfurt am Main,749-Andrea_Gremels,8.662009637,50.1213881,,2010-12-09,2015-01-01,
Andrea  Wurdak,Langeoog,778-Andrea_Wurdak,7.4860135,53.7460094,,2010-12-16,2015-01-01,
Andrea Peskova,Hamburg,1466-Andrea_Peskova,10,53.5833,,2011-07-11,2015-01-01,7003673
Andrea Stock,Spiekeroog,1987-Andrea_Stock,7.7167,53.7833,,2012-01-04,2015-01-01,1009246
Andrea Urban ,Klagenfurt,2540-Andrea_Urban_,14.3333,46.6333,,2012-06-26,2015-01-01,7003084
Andreea Csibi,Graz,1991-Andreea_Csibi,15.3667,47.0833,,2012-01-05,2015-01-01,7003097
Angelika Groß,Osnabrück,2700-Angelika_Gross,8.05,52.2833,,2012-08-21,2015-01-01,7005252
Aniela Mikolajczyk,Spiekeroog,3892-Aniela_Mikolajczyk,7.7167,53.7833,,2014-05-15,2015-01-01,1009246
Anita Maier,Spiekeroog,1184-Anita_Maier,7.7167,53.7833,,2011-04-19,2015-01-01,1009246
Anja Rothenburg,Spiekeroog,2796-Anja_Rothenburg,7.7167,53.7833,,2012-10-18,2015-01-01,1009246
Anke Schmidt,Spiekeroog,3884-Anke_Schmidt,7.7167,53.7833,,2014-05-12,2015-01-01,1009246
Anna  Wörsdörfer,Gießen,3433-Anna_WOersdOerfer,8.7,50.5833,,2013-09-17,2015-01-01,7004429
Anna Sennefelder,Spiekeroog,3890-Anna_Sennefelder,7.7167,53.7833,,2014-05-14,2015-01-01,1009246
Anna Taton ,Berlin,1150-Anna_Taton ,13.4167,52.5333,,2011-04-04,2015-01-01,7003712
Anna-Christine Weirich,Frankfurt am Main,780-Anna_Christine_Weirich,8.662009637,50.1213881,,2010-12-16,2015-01-01,
Anne Seitz,France,3760-Anne_Seitz,2,46,,2014-03-07,2015-01-01,1000070
Anne Sommer,Heidelberg,112-Anne_Sommer,8.7,49.4167,,2010-01-28,2015-01-01,7005177
Anne Wolfsgruber,Salzburg,4017-Anne_Wolfsgruber,13.05,47.8,,2014-07-16,2015-01-01,7003256
Anne-Catherine Luther,Aachen,3101-Anne_Catherine_Luther,6.1,50.7667,,2013-04-07,2015-01-01,7004799
Anne-Kathrin Willeke,Spiekeroog,4043-Anne_Kathrin_Willeke,7.7167,53.7833,,2014-08-02,2015-01-01,1009246
Annette Mayer,Spiekeroog,2325-Annette_Mayer,7.7167,53.7833,,2012-05-18,2015-01-01,1009246
Annika  Mayer,Kassel,4053-Annika_Mayer,9.3333,51.1667,,2014-08-11,2015-01-01,7005941
Antje Ziethen,Montréal,3129-Antje_Ziethen,-73.6,45.5,,2013-04-18,2015-01-01,7013051
Antonella Ruggieri,Dresden,1195-Antonella_Ruggieri,13.75,51.05,,2011-04-21,2015-01-01,7004455
Antonie Rita  Wiedemann,Genova,275-Antonie_Rita_Wiedemann,8.95,44.4167,,2010-07-15,2015-01-01,7008546
Antonina Klokova,Spiekeroog,848-Antonina_Klokova,7.7167,53.7833,,2011-01-03,2015-01-01,1009246
Antonio  Barquero,Potsdam,3157-Antonio_Barquero,13.0667,52.4,,2013-05-06,2015-01-01,7003728
Antonio Gallardo Gracia,Würzburg,2929-Antonio_Gallardo_Gracia,9.9333,49.8,,2012-12-17,2015-01-01,7004335
Apl. Prof. Carlos Balle Blanes,Spiekeroog,3729-Carlos_Balle_Blanes,7.7167,53.7833,,2014-03-01,2015-01-01,1009246
Apl. Prof. Christophe Losfeld,Halle an der Saale,991-Christophe_Losfeld,12.0058500694,51.49571545,,2011-02-04,2015-01-01,
Apl. Prof. Georgia Carvace,Spiekeroog,2921-Georgia_Carvace,7.7167,53.7833,,2012-12-12,2015-01-01,1009246
Apl. Prof. Jalouneix Catherine,Paris,2924-Jalouneix_Catherine,2.3333,48.8667,,2012-12-13,2015-01-01,7008038
Apl. Prof. Magda Hurtado,Spiekeroog,437-Magda_Hurtado,7.7167,53.7833,,2010-10-12,2015-01-01,1009246
Apl. Prof. Marta Estévez Pequeño,Coimbra,2381-Marta_Est_vez_Peque_o,-8.4167,40.2,,2012-06-01,2015-01-01,7010814
Aristhide Nyamsi,Langeoog,3162-_Aristhide_Nyamsi,7.4860135,53.7460094,,2013-05-10,2015-01-01,
Astrid Wlach,Spiekeroog,3885-Astrid_Wlach,7.7167,53.7833,,2014-05-13,2015-01-01,1009246
Bàrbara Roviró,Spiekeroog,3971-B_rbara_Rovir_,7.7167,53.7833,,2014-06-21,2015-01-01,1009246
Barbara Stübner,Spiekeroog,2731-Barbara_StUebner,7.7167,53.7833,,2012-09-12,2015-01-01,1009246
Bastienne Schulz,Nancy,3906-Bastienne_Schulz,6.2,48.7,,2014-05-19,2015-01-01,7008412
Beate Kerpen,Spiekeroog,3787-Beate_Kerpen,7.7167,53.7833,,2014-03-17,2015-01-01,1009246
Beatrice Vervuert,Frankfurt am Main,69-Beatrice_Vervuert,8.662009637,50.1213881,,2009-12-21,2015-01-01,
Beatrice Virendi,Spiekeroog,3964-Beatrice_Virendi,7.7167,53.7833,,2014-06-18,2015-01-01,1009246
Benjamin  Inal,Gießen,473-Benjamin_Inal,8.7,50.5833,,2010-10-19,2015-01-01,7004429
Benjamin Loy,Köln,3234-Benjamin_Loy,6.95,50.9333,,2013-06-17,2015-01-01,7004446
Benny Schulz,Spiekeroog,3223-Benny_Schulz,7.7167,53.7833,,2013-06-12,2015-01-01,1009246
Berit Callsen,Würzburg,1110-Berit_Callsen,9.9333,49.8,,2011-03-18,2015-01-01,7004335
Bernd Tesch ,Berlin,52-Bernd_Tesch ,13.4167,52.5333,,2009-12-08,2015-01-01,7003712
Bernhard Haidacher,Austria,276-Bernhard_Haidacher,13.3333,47.3333,,2010-07-15,2015-01-01,1000062
Birgit Olk,Mannheim,212-Birgit_Olk,8.4667,49.5,,2010-05-25,2015-01-01,7005179
Birgit Ueffing,Spiekeroog,319-Birgit_Ueffing,7.7167,53.7833,,2010-08-22,2015-01-01,1009246
Birgit Ulmer,Stuttgart,256-Birgit_Ulmer,9.3333,48.6667,,2010-06-29,2015-01-01,1003262
Björn Römer,Spiekeroog,2734-BjOern_ROemer,7.7167,53.7833,,2012-09-14,2015-01-01,1009246
