Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Academics.de www.academics.de,Langeoog,"<a href=""http://www.romanistik.de/pers/3777"">Academics.de www.academics.de</a>",7.4860135,53.7460094,,2014-03-13,2015-01-01,
Adrian Stähli,Bern,"<a href=""http://www.romanistik.de/pers/988"">Adrian Stähli</a>",7.4333,46.95,,2011-02-04,2015-01-01,7007557
Agathe  Mareuge,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3700"">Agathe  Mareuge</a>",7.7167,53.7833,,2014-02-07,2015-01-01,1009246
Alessandra  Matrone,Mainz,"<a href=""http://www.romanistik.de/pers/1711"">Alessandra  Matrone</a>",8.2667,50,,2011-10-05,2015-01-01,7004449
Alexander Gropper,Passau,"<a href=""http://www.romanistik.de/pers/84"">Alexander Gropper</a>",13.4667,48.5833,,2010-01-11,2015-01-01,7004407
Alexander Kagerer,München,"<a href=""http://www.romanistik.de/pers/3988"">Alexander Kagerer</a>",11.5833,48.1333,,2014-06-30,2015-01-01,7004333
Alexandra Duppé,Aachen,"<a href=""http://www.romanistik.de/pers/163"">Alexandra Duppé</a>",6.1,50.7667,,2010-03-15,2015-01-01,7004799
Alexandra Rieder,Spiekeroog,"<a href=""http://www.romanistik.de/pers/2491"">Alexandra Rieder</a>",7.7167,53.7833,,2012-06-21,2015-01-01,1009246
Alexandre Martins,Köln,"<a href=""http://www.romanistik.de/pers/362"">Alexandre Martins</a>",6.95,50.9333,,2010-09-16,2015-01-01,7004446
Aline Willems,Trier,"<a href=""http://www.romanistik.de/pers/2997"">Aline Willems</a>",6.5833,50,,2013-02-01,2015-01-01,7004451
Amalia Varela,Spiekeroog,"<a href=""http://www.romanistik.de/pers/3769"">Amalia Varela</a>",7.7167,53.7833,,2014-03-10,2015-01-01,1009246
Amanda Minervini,Providence,"<a href=""http://www.romanistik.de/pers/366"">Amanda Minervini</a>",-89.65,33.2333,,2010-09-18,2015-01-01,2056108
Amine Bounaira,Spiekeroog,"<a href=""http://www.romanistik.de/pers/4087"">Amine Bounaira</a>",7.7167,53.7833,,2014-09-11,2015-01-01,1009246
Amor Ayala,Berlin,"<a href=""http://www.romanistik.de/pers/312"">Amor Ayala</a>",13.4167,52.5333,,2010-08-10,2015-01-01,7003712
Ana  Leiner,Spiekeroog,"<a href=""http://www.romanistik.de/pers/1784"">Ana  Leiner</a>",7.7167,53.7833,,2011-10-30,2015-01-01,1009246
Ana Maria Ferri,Langeoog,"<a href=""http://www.romanistik.de/pers/3748"">Ana Maria Ferri</a>",7.4860135,53.7460094,,2014-03-04,2015-01-01,
