rom3071; 20.06.2010; Stellen; Nichtwissenschaftliche Stelle; Teaching Associate Spanish; Spanisch; Sprachpraxis Weitere Teilbereiche; 
rom1488; 07.01.2010; Stellen; Nichtwissenschaftliche Stelle; [Bewerbung abgeschlossen!] Dozent/in für Französisch am Sprachenzentrum UZH/ETHZ Zürich; Französisch; Sprachpraxis; 
rom1156; 18.07.2011; Tagungen; Tagungsausschreibung; CfP: Sensory-motor concepts in language and cognition; Sprachenübergreifend; Sprachwissenschaft Weitere Teilbereiche; 
rom1209; 18.07.2011; Tagungen; Tagungsausschreibung; CfP: Traditions populaires dans les oeuvres de Pier Paolo Pasolini et Dario Fo; Französisch Italienisch Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom2109; 05.02.2008; Stellen; Wissenschaftliche Stelle; Lehrkaft für besondere Aufgaben (Sprachwissenschaft Spanisch/Französisch); Französisch Spanisch; Sprachwissenschaft; 
rom0745; 09.01.2012; Tagungen; Tagungsausschreibung; CfP: Comics und Politik. 7. Wissenschaftstagung der Gesellschaft für Comicforschung (COMFOR); Sprachenübergreifend; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom1039; 26.02.2012; Tagungen; Tagungsausschreibung; CfP: Parcours de romans et mutations éditoriales au XVIe siècle : l’étape lyonnaise; Französisch; Literaturwissenschaft Medien-/Kulturwissenschaft; 
rom3094; 25.07.2011; Stellen; Wissenschaftliche Stelle; Temporary Lectureship in French Studies; Französisch; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom2714; 02.01.2013; Stellen; Professur; Professur für Romanische Literatur- und Kulturwissenschaft; Französisch Spanisch; Literaturwissenschaft; 
rom2495; 27.03.2009; Weitere Informationen; Allgemeine Mitteilung; Nachruf: Zum Tode des Romanisten Prof. Dr. Rupprecht Rohr; Französisch Italienisch Portugiesisch Spanisch Weitere romanische Sprachen Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft; 
rom1300; 30.04.2008; Weitere Informationen; Mittelbau; Clearingstelle für promovierte Romanisten; Französisch Italienisch Portugiesisch Spanisch Weitere romanische Sprachen Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Sprachpraxis Didaktik; 
rom2801; 24.06.2010; Weitere Informationen; Studium; Promotionsstudiengang Sprache - Literatur - Gesellschaft; Portugiesisch Spanisch Weitere romanische Sprachen Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Weitere Teilbereiche; 
rom2739; 31.05.2012; Stellen; Professur; Professur (W 3) für italienische und französische Literaturwissenschaft ; Französisch Italienisch; Literaturwissenschaft; 
rom1093; 08.12.2011; Tagungen; Tagungsausschreibung; CfP Sektion 10: Sprache und Identität im digitalen Raum - Langue et identité dans l’espace digital Frankoromanistentag 2012; Französisch; Sprachwissenschaft; 
rom0267; 04.07.2011; Stellen; Stipendium; 7 Promotionsstipendien: Interdisziplinäres Graduiertenkolleg Gender und Bildung; Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Didaktik; 
rom2320; 19.02.2008; Stellen; Wissenschaftliche Stelle; Lektor/in für Französisch mit Hochschulabschluss in Rechtswissenschaften Teilzeitstelle (50%); Französisch; Sprachpraxis; 
rom2082; 02.02.2012; Stellen; Wissenschaftliche Stelle; Lecturership: Spanish American Literature; Spanisch; Literaturwissenschaft; 
rom0946; 16.09.2010; Tagungen; Tagungsausschreibung; CfP languagetalks 2011: Über Grenzen sprechen; ; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom2587; 16.12.2011; Stellen; Stipendium; PhD funding in French Studies University of Manchester; Französisch; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft; 
rom0221; 23.05.2011; Weitere Informationen; Allgemeine Mitteilung; 4. Spanisches Film- und Kulturfestival cinEScultura; Spanisch; Medien-/Kulturwissenschaft; 
rom0042; 04.11.2010; Stellen; Wissenschaftliche Stelle; 10 Postdoktoranden/innen (Geistes- und Sozialwissenschaften); Sprachenübergreifend; Literaturwissenschaft Sprachwissenschaft Medien-/Kulturwissenschaft Didaktik; 
rom2249; 01.02.2009; Stellen; Nichtwissenschaftliche Stelle; Lehrkraft für besondere Aufgaben / Sprachpraxis Spanisch; Spanisch; Sprachpraxis; 
rom2566; 26.10.2010; Weitere Informationen; Studium; Padova: Master di 2° livello in Didattica dell'italiano come L2 (Uni Padova); Italienisch; Sprachpraxis Didaktik; 
