id;datum;kategorie;bereich;sprachen;disziplinen;titel
rom3130;2007-11-15;kaTA;beTP;spÜG;dzLW;Transpositionen des Televisiven
rom1339;2007-11-22;kaST;beWS;spFR;dzDK dzWT;Coordinateur recherche & MA 
rom1420;2007-11-22;kaTA;beTP;spFR;dzLW dzSW dzMK;Die Erfindung Kanadas
rom2139;2007-11-22;kaST;beWS;spFR;dzSP;Lehrkraft für besondere Aufgaben Engl/Franz FH 
rom0324;2007-11-22;kaST;beWS;spFR spES;dzSW;Akadem. Rat/Rätin Romanische Sprachwissenschaft: Frz/Span
rom0125;2007-11-22;kaST;beWS;spÜG;dzSW;2 Postdoc Fellowships in Linguistics
rom0259;2007-11-22;kaST;beSTI;spÜG;dzSW;6 Stipendien im Promotionsverbund »Dimensionen der Ambiguität«
rom0421;2007-11-22;kaWI;beAM;spÜG;dzSW;Artikelvorschläge: BildungselitenMigration und Mehrsprachigkeit 
rom2825;2007-11-22;kaST;beWS;spFR spIT;dzWT;Referent/in f. Romanistik Universitäts- und Landesbibliothek
rom3534;2007-11-22;kaST;beWS;spIT spÜG;dzWT;Wiss. Mitarbeiter/in Universitäts- und Landesbibliothek
rom2699;2007-11-29;kaST;bePR;spFR;dzLW;Professur Ältere Französische und Allgemeine Literaturwissenschaft
rom0198;2007-11-29;kaST;beWS;spÜG;dzLW;3 Postdoc Fellowships (Junior Fellows) in Literary Studies
rom1816;2007-11-29;kaTA;beSV;spÜG;dzMK;International Summer School Kulturregionen - Identitätsregionen
rom1915;2007-11-29;kaST;bePR;spÜG;dzMK;Juniorprofessur (W1) für Mediengeschichte der Wissenschaften
rom2826;2007-11-29;kaST;beNW;spÜG;dzMK;Referent/in für Öffentlichkeitsarbeit Kulturwissenschaftliches Institut
rom0357;2007-11-29;kaST;beWS;spFR;dzSW dzDK;Akademische/r Rat/Rätin Französisch PH
rom2806;2007-11-30;kaTA;beTA;spFR;dzLW;Proust und der Körper
rom1520;2007-12-06;kaTA;beTP;spES;dzLW dzMK;El viaje y la percepción del otro: viajeros a la Península Ibérica y sus descripciones (siglos XVIII y XIX)
rom1393;2007-12-06;kaTA;beTA;spIT;dzLW dzSW dzMK dzSP dzDK;Deutscher Italianistentag 2008: Inquietudini
rom1730;2007-12-06;kaST;beNW;spFR;dzSP;Halbe Lektorenstelle für Französisch
rom3316;2007-12-06;kaST;bePR;spFR spES;dzSW;W 2-Professur für Romanistische Sprachwissenschaft 
rom0147;2007-12-06;kaST;beSTI;spÜG;dzWT;2 Stellen für Postdoktoranden/innen DFG-Graduiertenkolleg Freunde Gönner Getreue
rom2360;2007-12-08;kaTA;beTP;spFR;dzLW;Les Salons de Diderot 
rom1880;2007-12-08;kaST;beSTI;spÜG;dzLW dzMK;Junior and Senior Research Fellowships
rom1802;2007-12-08;kaTA;beTA;spFR;dzLW dzSW dzMK dzWT;Interdisziplinärer Frankophonieforschertag
rom1323;2007-12-28;kaTA;beTP;spPT;dzLW;Colóquio Internacional Miguel Torga
rom1893;2007-12-28;kaST;bePR;spÜG;dzLW;Juniorprofessur für Romanische Philologie Exzellenzinitiative Friedrich Schlegel Graduate School of Literary Studies (FU Berlin Frist 17.1.2008)
rom1891;2007-12-28;kaST;bePR;spÜG;dzLW;Juniorprofessur für für Allgemeine und Vergleichende Literaturwissenschaft Exzellenzinitiative Friedrich Schlegel Graduate School of Literary Studies (FU Berlin Frist 17.1.2008)
rom3715;2007-12-28;kaWI;beAM;spÜG;dzLW dzMK; Zeitschrift: HiN - Internationale Zeitschrift für Humboldt-Studien VIII 15 (2007)
rom2736;2007-12-28;kaST;bePR;spFR spIT spPT spES spWR spÜG;dzLW dzSW dzMK;Professur (W 2) Medientheorie/Semiotik (Berlin)
rom2282;2007-12-28;kaST;beWS;spÜG;dzLW dzSW dzMK;Leitung der Geschäftsstelle Die Junge Akademie (Berlin Frist: 15.1.2008)
rom1831;2007-12-28;kaWI;beSTU;spÜG;dzLW dzSW dzMK;Internationales Promotionsprogramm (IPP) Literatur- und Kulturwissenschaft (Giessen Frist 1.4.2008)
rom1803;2007-12-28;kaTA;beTA;spFR;dzLW dzSW dzMK dzSP dzDK dzWT;Interdisziplinärer Frankophonieforschertag 
rom0235;2007-12-28;kaST;beSTI;spFR spIT spPT spES spWR spÜG;dzLW dzSW dzMK dzWT;5 post-doctoral fellowships Zukunftskolleg Konstanz (Konstanz 31.1.2008)
